Topics,Alpha,Eta,Coherence
2,0.001,0.01,0.32241003781193434
2,0.001,0.02,0.32241003781193434
2,0.001,0.03,0.32241003781193434
2,0.001,0.04,0.32241003781193434
2,0.001,0.05,0.30218868783312774
2,0.001,0.06,0.30218868783312774
2,0.001,0.07,0.30218868783312774
2,0.001,0.08,0.30218868783312774
2,0.001,0.09,0.3021886878331278
2,0.001,0.1,0.3021886878331278
2,0.002,0.01,0.32241003781193434
2,0.002,0.02,0.32241003781193434
2,0.002,0.03,0.32241003781193434
2,0.002,0.04,0.32241003781193434
2,0.002,0.05,0.30218868783312774
2,0.002,0.06,0.30218868783312774
2,0.002,0.07,0.30218868783312774
2,0.002,0.08,0.30218868783312774
2,0.002,0.09,0.3021886878331278
2,0.002,0.1,0.3021886878331278
2,0.003,0.01,0.32241003781193434
2,0.003,0.02,0.32241003781193434
2,0.003,0.03,0.32241003781193434
2,0.003,0.04,0.32241003781193434
2,0.003,0.05,0.30218868783312774
2,0.003,0.06,0.30218868783312774
2,0.003,0.07,0.30218868783312774
2,0.003,0.08,0.30218868783312774
2,0.003,0.09,0.3021886878331278
2,0.003,0.1,0.3021886878331278
2,0.004,0.01,0.32241003781193434
2,0.004,0.02,0.32241003781193434
2,0.004,0.03,0.32241003781193434
2,0.004,0.04,0.32241003781193434
2,0.004,0.05,0.30218868783312774
2,0.004,0.06,0.30218868783312774
2,0.004,0.07,0.30218868783312774
2,0.004,0.08,0.30218868783312774
2,0.004,0.09,0.3021886878331278
2,0.004,0.1,0.3021886878331278
2,0.005,0.01,0.32241003781193434
2,0.005,0.02,0.32241003781193434
2,0.005,0.03,0.32241003781193434
2,0.005,0.04,0.32241003781193434
2,0.005,0.05,0.30218868783312774
2,0.005,0.06,0.30218868783312774
2,0.005,0.07,0.30218868783312774
2,0.005,0.08,0.30218868783312774
2,0.005,0.09,0.3021886878331278
2,0.005,0.1,0.3021886878331278
2,0.006,0.01,0.32241003781193434
2,0.006,0.02,0.32241003781193434
2,0.006,0.03,0.32241003781193434
2,0.006,0.04,0.32241003781193434
2,0.006,0.05,0.30218868783312774
2,0.006,0.06,0.30218868783312774
2,0.006,0.07,0.30218868783312774
2,0.006,0.08,0.30218868783312774
2,0.006,0.09,0.3021886878331278
2,0.006,0.1,0.3021886878331278
2,0.007,0.01,0.32241003781193434
2,0.007,0.02,0.32241003781193434
2,0.007,0.03,0.32241003781193434
2,0.007,0.04,0.32241003781193434
2,0.007,0.05,0.30218868783312774
2,0.007,0.06,0.30218868783312774
2,0.007,0.07,0.30218868783312774
2,0.007,0.08,0.30218868783312774
2,0.007,0.09,0.3021886878331278
2,0.007,0.1,0.3021886878331278
2,0.008,0.01,0.32241003781193434
2,0.008,0.02,0.32241003781193434
2,0.008,0.03,0.32241003781193434
2,0.008,0.04,0.32241003781193434
2,0.008,0.05,0.30218868783312774
2,0.008,0.06,0.30218868783312774
2,0.008,0.07,0.30218868783312774
2,0.008,0.08,0.30218868783312774
2,0.008,0.09,0.3021886878331278
2,0.008,0.1,0.3021886878331278
2,0.009000000000000001,0.01,0.32241003781193434
2,0.009000000000000001,0.02,0.32241003781193434
2,0.009000000000000001,0.03,0.32241003781193434
2,0.009000000000000001,0.04,0.32241003781193434
2,0.009000000000000001,0.05,0.30218868783312774
2,0.009000000000000001,0.06,0.30218868783312774
2,0.009000000000000001,0.07,0.30218868783312774
2,0.009000000000000001,0.08,0.30218868783312774
2,0.009000000000000001,0.09,0.3021886878331278
2,0.009000000000000001,0.1,0.3021886878331278
2,0.01,0.01,0.32241003781193434
2,0.01,0.02,0.32241003781193434
2,0.01,0.03,0.32241003781193434
2,0.01,0.04,0.32241003781193434
2,0.01,0.05,0.30218868783312774
2,0.01,0.06,0.30218868783312774
2,0.01,0.07,0.30218868783312774
2,0.01,0.08,0.30218868783312774
2,0.01,0.09,0.3021886878331278
2,0.01,0.1,0.3021886878331278
3,0.001,0.01,0.3745057729078856
3,0.001,0.02,0.3783536603022772
3,0.001,0.03,0.43548383288306175
3,0.001,0.04,0.43548383288306186
3,0.001,0.05,0.45667991245760414
3,0.001,0.06,0.45025854799144877
3,0.001,0.07,0.45025854799144877
3,0.001,0.08,0.4386456806926389
3,0.001,0.09,0.4386456806926389
3,0.001,0.1,0.4348952832570164
3,0.002,0.01,0.3745057729078856
3,0.002,0.02,0.3783536603022772
3,0.002,0.03,0.43548383288306175
3,0.002,0.04,0.43548383288306186
3,0.002,0.05,0.45667991245760414
3,0.002,0.06,0.45025854799144877
3,0.002,0.07,0.45025854799144877
3,0.002,0.08,0.4386456806926389
3,0.002,0.09,0.4386456806926389
3,0.002,0.1,0.4348952832570164
3,0.003,0.01,0.3745057729078856
3,0.003,0.02,0.3783536603022772
3,0.003,0.03,0.43548383288306175
3,0.003,0.04,0.43548383288306186
3,0.003,0.05,0.45667991245760414
3,0.003,0.06,0.45025854799144877
3,0.003,0.07,0.45025854799144877
3,0.003,0.08,0.4386456806926389
3,0.003,0.09,0.4386456806926389
3,0.003,0.1,0.4348952832570164
3,0.004,0.01,0.3745057729078856
3,0.004,0.02,0.3783536603022772
3,0.004,0.03,0.43548383288306175
3,0.004,0.04,0.43548383288306186
3,0.004,0.05,0.45667991245760414
3,0.004,0.06,0.45025854799144877
3,0.004,0.07,0.45025854799144877
3,0.004,0.08,0.4386456806926389
3,0.004,0.09,0.4386456806926389
3,0.004,0.1,0.4348952832570164
3,0.005,0.01,0.3745057729078856
3,0.005,0.02,0.3783536603022772
3,0.005,0.03,0.43548383288306175
3,0.005,0.04,0.43548383288306186
3,0.005,0.05,0.45667991245760414
3,0.005,0.06,0.45025854799144877
3,0.005,0.07,0.45025854799144877
3,0.005,0.08,0.4386456806926389
3,0.005,0.09,0.4386456806926389
3,0.005,0.1,0.4348952832570164
3,0.006,0.01,0.3745057729078856
3,0.006,0.02,0.3783536603022772
3,0.006,0.03,0.43548383288306175
3,0.006,0.04,0.43548383288306186
3,0.006,0.05,0.45667991245760414
3,0.006,0.06,0.45025854799144877
3,0.006,0.07,0.45025854799144877
3,0.006,0.08,0.4386456806926389
3,0.006,0.09,0.4386456806926389
3,0.006,0.1,0.4348952832570164
3,0.007,0.01,0.3745057729078856
3,0.007,0.02,0.3783536603022772
3,0.007,0.03,0.43548383288306175
3,0.007,0.04,0.43548383288306186
3,0.007,0.05,0.45667991245760414
3,0.007,0.06,0.45025854799144877
3,0.007,0.07,0.45025854799144877
3,0.007,0.08,0.4386456806926389
3,0.007,0.09,0.4386456806926389
3,0.007,0.1,0.4348952832570164
3,0.008,0.01,0.3745057729078856
3,0.008,0.02,0.3783536603022772
3,0.008,0.03,0.43548383288306175
3,0.008,0.04,0.43548383288306186
3,0.008,0.05,0.45667991245760414
3,0.008,0.06,0.45025854799144877
3,0.008,0.07,0.45025854799144877
3,0.008,0.08,0.4386456806926389
3,0.008,0.09,0.4386456806926389
3,0.008,0.1,0.4348952832570164
3,0.009000000000000001,0.01,0.3745057729078856
3,0.009000000000000001,0.02,0.3783536603022772
3,0.009000000000000001,0.03,0.43548383288306175
3,0.009000000000000001,0.04,0.43548383288306186
3,0.009000000000000001,0.05,0.45667991245760414
3,0.009000000000000001,0.06,0.45025854799144877
3,0.009000000000000001,0.07,0.45025854799144877
3,0.009000000000000001,0.08,0.4386456806926389
3,0.009000000000000001,0.09,0.4386456806926389
3,0.009000000000000001,0.1,0.4348952832570164
3,0.01,0.01,0.3745057729078856
3,0.01,0.02,0.3783536603022772
3,0.01,0.03,0.43548383288306175
3,0.01,0.04,0.43548383288306186
3,0.01,0.05,0.45667991245760414
3,0.01,0.06,0.45025854799144877
3,0.01,0.07,0.45025854799144877
3,0.01,0.08,0.4386456806926389
3,0.01,0.09,0.4386456806926389
3,0.01,0.1,0.4348952832570164
4,0.001,0.01,0.39990446744593516
4,0.001,0.02,0.39990446744593516
4,0.001,0.03,0.39990446744593516
4,0.001,0.04,0.39990446744593516
4,0.001,0.05,0.39990446744593516
4,0.001,0.06,0.39990446744593516
4,0.001,0.07,0.39990446744593516
4,0.001,0.08,0.39990446744593516
4,0.001,0.09,0.39990446744593516
4,0.001,0.1,0.39990446744593516
4,0.002,0.01,0.39990446744593516
4,0.002,0.02,0.39990446744593516
4,0.002,0.03,0.39990446744593516
4,0.002,0.04,0.39990446744593516
4,0.002,0.05,0.39990446744593516
4,0.002,0.06,0.39990446744593516
4,0.002,0.07,0.39990446744593516
4,0.002,0.08,0.39990446744593516
4,0.002,0.09,0.39990446744593516
4,0.002,0.1,0.39990446744593516
4,0.003,0.01,0.39990446744593516
4,0.003,0.02,0.39990446744593516
4,0.003,0.03,0.39990446744593516
4,0.003,0.04,0.39990446744593516
4,0.003,0.05,0.39990446744593516
4,0.003,0.06,0.39990446744593516
4,0.003,0.07,0.39990446744593516
4,0.003,0.08,0.39990446744593516
4,0.003,0.09,0.39990446744593516
4,0.003,0.1,0.39990446744593516
4,0.004,0.01,0.39990446744593516
4,0.004,0.02,0.39990446744593516
4,0.004,0.03,0.39990446744593516
4,0.004,0.04,0.39990446744593516
4,0.004,0.05,0.39990446744593516
4,0.004,0.06,0.39990446744593516
4,0.004,0.07,0.39990446744593516
4,0.004,0.08,0.39990446744593516
4,0.004,0.09,0.39990446744593516
4,0.004,0.1,0.39990446744593516
4,0.005,0.01,0.39990446744593516
4,0.005,0.02,0.39990446744593516
4,0.005,0.03,0.39990446744593516
4,0.005,0.04,0.39990446744593516
4,0.005,0.05,0.39990446744593516
4,0.005,0.06,0.39990446744593516
4,0.005,0.07,0.39990446744593516
4,0.005,0.08,0.39990446744593516
4,0.005,0.09,0.39990446744593516
4,0.005,0.1,0.39990446744593516
4,0.006,0.01,0.39990446744593516
4,0.006,0.02,0.39990446744593516
4,0.006,0.03,0.39990446744593516
4,0.006,0.04,0.39990446744593516
4,0.006,0.05,0.39990446744593516
4,0.006,0.06,0.39990446744593516
4,0.006,0.07,0.39990446744593516
4,0.006,0.08,0.39990446744593516
4,0.006,0.09,0.39990446744593516
4,0.006,0.1,0.39990446744593516
4,0.007,0.01,0.39990446744593516
4,0.007,0.02,0.39990446744593516
4,0.007,0.03,0.39990446744593516
4,0.007,0.04,0.39990446744593516
4,0.007,0.05,0.39990446744593516
4,0.007,0.06,0.39990446744593516
4,0.007,0.07,0.39990446744593516
4,0.007,0.08,0.39990446744593516
4,0.007,0.09,0.39990446744593516
4,0.007,0.1,0.39990446744593516
4,0.008,0.01,0.39990446744593516
4,0.008,0.02,0.39990446744593516
4,0.008,0.03,0.39990446744593516
4,0.008,0.04,0.39990446744593516
4,0.008,0.05,0.39990446744593516
4,0.008,0.06,0.39990446744593516
4,0.008,0.07,0.39990446744593516
4,0.008,0.08,0.39990446744593516
4,0.008,0.09,0.39990446744593516
4,0.008,0.1,0.39990446744593516
4,0.009000000000000001,0.01,0.39990446744593516
4,0.009000000000000001,0.02,0.39990446744593516
4,0.009000000000000001,0.03,0.39990446744593516
4,0.009000000000000001,0.04,0.39990446744593516
4,0.009000000000000001,0.05,0.39990446744593516
4,0.009000000000000001,0.06,0.39990446744593516
4,0.009000000000000001,0.07,0.39990446744593516
4,0.009000000000000001,0.08,0.39990446744593516
4,0.009000000000000001,0.09,0.39990446744593516
4,0.009000000000000001,0.1,0.39990446744593516
4,0.01,0.01,0.39990446744593516
4,0.01,0.02,0.39990446744593516
4,0.01,0.03,0.39990446744593516
4,0.01,0.04,0.39990446744593516
4,0.01,0.05,0.39990446744593516
4,0.01,0.06,0.39990446744593516
4,0.01,0.07,0.39990446744593516
4,0.01,0.08,0.39990446744593516
4,0.01,0.09,0.39990446744593516
4,0.01,0.1,0.39990446744593516
5,0.001,0.01,0.43852742960838975
5,0.001,0.02,0.4290903612219502
5,0.001,0.03,0.4290903612219502
5,0.001,0.04,0.4290903612219502
5,0.001,0.05,0.4290903612219502
5,0.001,0.06,0.4290903612219502
5,0.001,0.07,0.4290903612219502
5,0.001,0.08,0.4290903612219502
5,0.001,0.09,0.4290903612219502
5,0.001,0.1,0.4290903612219502
5,0.002,0.01,0.43852742960838975
5,0.002,0.02,0.4290903612219502
5,0.002,0.03,0.4290903612219502
5,0.002,0.04,0.4290903612219502
5,0.002,0.05,0.4290903612219502
5,0.002,0.06,0.4290903612219502
5,0.002,0.07,0.4290903612219502
5,0.002,0.08,0.4290903612219502
5,0.002,0.09,0.4290903612219502
5,0.002,0.1,0.4290903612219502
5,0.003,0.01,0.43852742960838975
5,0.003,0.02,0.4290903612219502
5,0.003,0.03,0.4290903612219502
5,0.003,0.04,0.4290903612219502
5,0.003,0.05,0.4290903612219502
5,0.003,0.06,0.4290903612219502
5,0.003,0.07,0.4290903612219502
5,0.003,0.08,0.4290903612219502
5,0.003,0.09,0.4290903612219502
5,0.003,0.1,0.4290903612219502
5,0.004,0.01,0.43852742960838975
5,0.004,0.02,0.4290903612219502
5,0.004,0.03,0.4290903612219502
5,0.004,0.04,0.4290903612219502
5,0.004,0.05,0.4290903612219502
5,0.004,0.06,0.4290903612219502
5,0.004,0.07,0.4290903612219502
5,0.004,0.08,0.4290903612219502
5,0.004,0.09,0.4290903612219502
5,0.004,0.1,0.4290903612219502
5,0.005,0.01,0.43852742960838975
5,0.005,0.02,0.4290903612219502
5,0.005,0.03,0.4290903612219502
5,0.005,0.04,0.4290903612219502
5,0.005,0.05,0.4290903612219502
5,0.005,0.06,0.4290903612219502
5,0.005,0.07,0.4290903612219502
5,0.005,0.08,0.4290903612219502
5,0.005,0.09,0.4290903612219502
5,0.005,0.1,0.4290903612219502
5,0.006,0.01,0.43852742960838975
5,0.006,0.02,0.4290903612219502
5,0.006,0.03,0.4290903612219502
5,0.006,0.04,0.4290903612219502
5,0.006,0.05,0.4290903612219502
5,0.006,0.06,0.4290903612219502
5,0.006,0.07,0.4290903612219502
5,0.006,0.08,0.4290903612219502
5,0.006,0.09,0.4290903612219502
5,0.006,0.1,0.4290903612219502
5,0.007,0.01,0.43852742960838975
5,0.007,0.02,0.4290903612219502
5,0.007,0.03,0.4290903612219502
5,0.007,0.04,0.4290903612219502
5,0.007,0.05,0.4290903612219502
5,0.007,0.06,0.4290903612219502
5,0.007,0.07,0.4290903612219502
5,0.007,0.08,0.4290903612219502
5,0.007,0.09,0.4290903612219502
5,0.007,0.1,0.4290903612219502
5,0.008,0.01,0.43852742960838975
5,0.008,0.02,0.4290903612219502
5,0.008,0.03,0.4290903612219502
5,0.008,0.04,0.4290903612219502
5,0.008,0.05,0.4290903612219502
5,0.008,0.06,0.4290903612219502
5,0.008,0.07,0.4290903612219502
5,0.008,0.08,0.4290903612219502
5,0.008,0.09,0.4290903612219502
5,0.008,0.1,0.4290903612219502
5,0.009000000000000001,0.01,0.43852742960838975
5,0.009000000000000001,0.02,0.4290903612219502
5,0.009000000000000001,0.03,0.4290903612219502
5,0.009000000000000001,0.04,0.4290903612219502
5,0.009000000000000001,0.05,0.4290903612219502
5,0.009000000000000001,0.06,0.4290903612219502
5,0.009000000000000001,0.07,0.4290903612219502
5,0.009000000000000001,0.08,0.4290903612219502
5,0.009000000000000001,0.09,0.4290903612219502
5,0.009000000000000001,0.1,0.4290903612219502
5,0.01,0.01,0.43852742960838975
5,0.01,0.02,0.4290903612219502
5,0.01,0.03,0.4290903612219502
5,0.01,0.04,0.4290903612219502
5,0.01,0.05,0.4290903612219502
5,0.01,0.06,0.4290903612219502
5,0.01,0.07,0.4290903612219502
5,0.01,0.08,0.4290903612219502
5,0.01,0.09,0.4290903612219502
5,0.01,0.1,0.4290903612219502
6,0.001,0.01,0.31782627558474713
6,0.001,0.02,0.31782627558474713
6,0.001,0.03,0.31782627558474713
6,0.001,0.04,0.31782627558474713
6,0.001,0.05,0.31782627558474713
6,0.001,0.06,0.31782627558474713
6,0.001,0.07,0.3167536090677901
6,0.001,0.08,0.3167536090677901
6,0.001,0.09,0.3167536090677901
6,0.001,0.1,0.3199554399683745
6,0.002,0.01,0.31782627558474713
6,0.002,0.02,0.31782627558474713
6,0.002,0.03,0.31782627558474713
6,0.002,0.04,0.31782627558474713
6,0.002,0.05,0.31782627558474713
6,0.002,0.06,0.31782627558474713
6,0.002,0.07,0.3167536090677901
6,0.002,0.08,0.3167536090677901
6,0.002,0.09,0.3167536090677901
6,0.002,0.1,0.3199554399683745
6,0.003,0.01,0.31782627558474713
6,0.003,0.02,0.31782627558474713
6,0.003,0.03,0.31782627558474713
6,0.003,0.04,0.31782627558474713
6,0.003,0.05,0.31782627558474713
6,0.003,0.06,0.31782627558474713
6,0.003,0.07,0.3167536090677901
6,0.003,0.08,0.3167536090677901
6,0.003,0.09,0.3167536090677901
6,0.003,0.1,0.3199554399683745
6,0.004,0.01,0.31782627558474713
6,0.004,0.02,0.31782627558474713
6,0.004,0.03,0.31782627558474713
6,0.004,0.04,0.31782627558474713
6,0.004,0.05,0.31782627558474713
6,0.004,0.06,0.31782627558474713
6,0.004,0.07,0.3167536090677901
6,0.004,0.08,0.3167536090677901
6,0.004,0.09,0.3167536090677901
6,0.004,0.1,0.3199554399683745
6,0.005,0.01,0.31782627558474713
6,0.005,0.02,0.31782627558474713
6,0.005,0.03,0.31782627558474713
6,0.005,0.04,0.31782627558474713
6,0.005,0.05,0.31782627558474713
6,0.005,0.06,0.31782627558474713
6,0.005,0.07,0.3167536090677901
6,0.005,0.08,0.3167536090677901
6,0.005,0.09,0.3167536090677901
6,0.005,0.1,0.3199554399683745
6,0.006,0.01,0.31782627558474713
6,0.006,0.02,0.31782627558474713
